high,low,volume,price,1daily_return,2daily_return,3daily_return,5daily_return,10daily_return,Symbol
69.44000244140625,68.18000030517578,3964200,51.32029724121094,0.014808424987420027,-0.002177611824410054,-0.005662012270610027,0.009872246403756037,0.018873448077748052,D
70.05999755859375,68.69000244140625,3037000,52.08028030395508,-0.016738170864161527,-0.02017172577009677,-0.002002852454825854,-0.002575111605815061,-0.00014309207456548743,D
69.75,67.94000244140625,3773800,51.20854187011719,-0.003492004676875232,0.014986159304369757,0.01207615540697373,0.014258630578696151,0.017459579363182584,D
69.05000305175781,67.97000122070312,2268700,51.02973556518555,0.01854291593039684,0.015622714676565015,0.017958875679630473,0.035771713447997414,0.028325339493585972,D
69.83000183105469,68.5199966430664,2118000,51.975975036621094,-0.002867038009060562,-0.0005734076018121124,-0.0007167868438444754,0.03454696042022039,0.018635254910465623,D
70.13999938964844,69.2699966430664,2287300,51.82695007324219,0.0023002252404421978,0.002156433742720487,0.019839058816096926,0.008913208285549075,-0.001006321122499388,D
70.55999755859375,69.44000244140625,2075500,51.94617462158203,-0.00014346150394929495,0.017498582893610875,0.035140517862106244,0.0024382984218140275,0.010183578199103994,D
70.12000274658203,69.16999816894531,2320200,51.938720703125,0.017644575714928782,0.035289041985091654,0.00674223535899908,0.0031559492697243274,0.008320209993861244,D
71.51000213623047,69.43000030517578,3579600,52.85515594482422,0.017338535173507957,-0.01071330857167931,-0.01480128299438776,-0.007189203815600531,-0.02438685223280773,D
72.19999694824219,71.02999877929688,3498500,53.771583557128906,-0.027573755220432105,-0.03159205815634836,-0.031037798539579296,-0.015380360794150536,-0.04475538048342264,D
71.41999816894531,69.94000244140625,10798600,52.28890609741211,-0.004132244432406424,-0.003562268437060159,0.003562268437060159,-0.009831895674063744,-0.014676528566799001,D
70.11000061035156,68.62000274658203,6008700,52.07283401489258,0.00057234104845719,0.007726440409832433,0.01674056630652373,0.007726440409832433,-0.0017170231453715698,D
70.41999816894531,69.27999877929688,5527100,52.10264205932617,0.00715000711880439,0.01615897681233577,-0.006292041176691998,0.005148013853575195,-0.0025740069267875974,D
71.16000366210938,69.62000274658203,4016100,52.47516632080078,0.008945012788416406,-0.013346619868425173,0.0,-0.01732218110772135,-0.01377255738321843,D
71.43000030517578,69.69000244140625,3758900,52.94456100463867,-0.022094001530603043,-0.00886570890884838,-0.01083586644414802,-0.029833875457699267,-0.004503232561475357,D
70.88999938964844,69.08000183105469,5684700,51.774810791015625,0.013527161754257952,0.011512492104635903,-0.004029339299244098,-0.004892737780150245,0.020002869943577174,D
70.87000274658203,69.16000366210938,4020500,52.47516632080078,-0.0019877806196480904,-0.01732218110772135,-0.021155727066780004,-0.009371058629128992,0.011216823968539553,D
70.73999786376953,69.05000305175781,3266600,52.370853424072266,-0.015364942623241748,-0.019206124008214,-0.01621851436619639,-0.007682471311620874,0.021909245916472187,D
70.48999786376953,69.11000061035156,2868700,51.566184997558594,-0.00390112189911848,-0.0008668914808179866,0.008091281115467983,0.003612194817324998,0.011703475932792981,D
69.63999938964844,68.44999694824219,2942500,51.365020751953125,0.0030461136790811616,0.012039370064797838,0.011749311428907857,0.026109593249480086,0.01421519716904542,D
69.55999755859375,68.55999755859375,2385500,51.52146530151367,0.008965945097708655,0.008676767330172053,0.0044829725488543274,0.02501801430751413,0.011568986329868533,D
69.83000183105469,68.80000305175781,2584000,51.98341369628906,-0.0002866080554469035,-0.004443135638656461,0.01390284172816456,0.020782637916047786,-0.01433280848666026,D
70.20999908447266,69.19000244140625,6190800,51.9685173034668,-0.004157719219030018,0.014193517760136649,0.016200677468357974,0.029820814782146057,0.003440829588093638,D
69.7699966430664,69.0,4156600,51.75245666503906,0.018427854825339474,0.020443394581943553,0.025338355304181197,0.008062159026416313,0.01670031208463817,D
70.77999877929688,69.62000274658203,2529900,52.70613098144531,0.0019790697466240685,0.0067854590250056275,0.01540859485724436,-0.011591740452174835,0.0067854590250056275,D
71.19000244140625,70.2699966430664,2559200,52.81044387817383,0.00479689588685418,0.013402999639519705,-0.01213319192545668,-0.013120772308310647,0.01185107223243649,D
71.30000305175781,70.33000183105469,3482700,53.063758850097656,0.008565018251842431,-0.016849263648817326,-0.018253342171804278,-0.03440051299696581,0.012356040976339664,D
71.87000274658203,71.16000366210938,2114900,53.518272399902344,-0.02519845665945328,-0.026590611352088424,-0.02617297556575735,-0.025616092445784354,-0.003341298719837976,D
71.75,69.91000366210938,2800500,52.1696891784668,-0.0014281416583157734,-0.0009997100568434594,-0.017852043129507618,0.008569067870342999,0.03141966128406791,D
70.7300033569336,69.8499984741211,3622000,52.095184326171875,0.00042904433756405387,-0.016447390674985383,0.0010011398263352477,0.018592721478863018,0.034610958700226985,D
70.41999816894531,69.55999755859375,2510000,52.11752700805664,-0.016869197378934754,0.0005718501397068175,0.009578353503511921,0.025303850603033043,0.043459628994361774,D
69.25,67.58000183105469,4450600,51.75627517700195,0.017740312349224595,0.026901355152271163,0.03562606801266632,0.04842230614519636,0.0696524814504304,D
70.0199966430664,68.29000091552734,3726400,52.67445373535156,0.009001355937154891,0.01757398763360025,0.024717865548459082,0.022860387526163026,0.06515224070822236,D
70.77999877929688,69.31999969482422,2772700,53.14859390258789,0.00849615478314511,0.015576301774844281,0.02095717459612664,0.022656448766543453,0.04021518305630595,D
71.37999725341797,70.12999725341797,2382500,53.60014343261719,0.007020499739259394,0.012356040976339664,0.005195101247484186,0.015725850856373277,0.03383875303858147,D
71.77999877929688,70.70999908447266,3067600,53.97645950317383,0.005298344212914995,-0.001812672624090419,0.006971555932651978,0.017707705262835403,0.01728942892727651,D
72.33000183105469,71.5999984741211,2312400,54.26245880126953,-0.007073538793673126,0.0016643931917017158,0.0033286805665560986,0.02024964098989121,0.019556223189317663,D
72.23999786376953,71.06999969482422,2179900,53.878623962402344,0.008800180402845694,0.010476324044775031,0.01955582619771589,0.04134665267890979,0.025562256246214075,D
72.33999633789062,71.61000061035156,1880100,54.3527717590332,0.0016615219490345467,0.010661819856708521,0.01855436603768004,0.017169729199811537,0.012877323310113438,D
72.47000122070312,71.91000366210938,1862600,54.44308090209961,0.00898536852065674,0.016864822815371175,0.03055027406339,0.017832471396624337,0.031794348468236026,D
73.06999969482422,72.12000274658203,2094800,54.9322624206543,0.007809284991185796,0.02137286249685767,0.006439255164527443,-0.00041099849533994396,0.024112922150174375,D
