high,low,volume,price,1daily_return,2daily_return,3daily_return,5daily_return,10daily_return,Symbol
15.15999984741211,14.770000457763672,460900,12.604327201843262,0.0013192914224920693,0.001978874226460663,-0.012532953977287454,0.007915559813120093,-0.0006596457112460347,G
15.300000190734863,15.119999885559082,346700,12.620955467224121,0.0006587137685438763,-0.013833994329721516,-0.00329382014029441,0.01119895078236474,0.0,G
15.350000381469727,15.0,427800,12.629270553588867,-0.014483167836199557,-0.003949932034222532,0.005924960834371503,-0.009216549935211045,0.0302830843222028,G
15.239999771118164,14.960000038146973,362900,12.446357727050781,0.010688032368610342,0.020708046787758033,0.025384108728298573,-0.017368084451840817,0.04208417523067674,G
15.180000305175781,14.850000381469727,324800,12.579386711120605,0.009914052702954404,0.014540665258741673,-0.005287503179176998,-0.03304692638586117,0.04626568433380366,G
15.359999656677246,15.0,668300,12.704096794128418,0.004581194353523954,-0.01505232632563697,-0.03730364560113657,-0.008507861041411123,0.030104715064515633,G
15.4399995803833,15.25,308800,12.762297630310059,-0.019543985881395724,-0.041693832405069645,-0.046905553689626046,-0.011074923261836962,0.022149784395055508,G
15.489999771118164,15.039999961853027,549900,12.512870788574219,-0.022591371978666338,-0.027906981459874487,0.006644480167978481,0.03986707110906112,0.020597970897915725,G
15.020000457763672,14.699999809265137,787600,12.230188369750977,-0.005438472025737147,0.029911596141554312,0.0319510717749811,0.060503082325951356,0.061862667916535406,G
15.710000038146973,14.5600004196167,543700,12.163677215576172,0.03554336978959259,0.037593997705575644,0.06971971948807702,0.08202322623911985,0.07108680476539905,G
15.220000267028809,14.619999885559082,1046300,12.596014976501465,0.0019802433927993872,0.033003301161040284,0.02970302140397733,0.03894390544183575,0.04092414883463513,G
15.470000267028809,15.180000305175781,359000,12.620955467224121,0.030961745975343687,0.027667988659443032,0.04281947335064606,0.03359678952270046,0.0447957403050652,G
15.680000305175781,15.050000190734863,542400,13.011722564697266,-0.00319483950666335,0.011501617224492014,0.005750808612246007,-0.018530349451871864,0.005750808612246007,G
15.630000114440918,15.350000381469727,1186600,12.970151901245117,0.014743560039237585,0.008974319629808093,0.005769179276461985,0.0012820194615579393,0.009615359927070815,G
16.299999237060547,15.739999771118164,847400,13.161378860473633,-0.0056854171207614355,-0.008843988881711732,-0.029690478161340007,-0.01010738143924456,-0.009475655038105404,G
16.0,15.350000381469727,927300,13.086551666259766,-0.003176632240275521,-0.024142320201185296,-0.007623881023128966,0.0019060156976975974,0.027318952441460816,G
15.770000457763672,15.4399995803833,994800,13.0449800491333,-0.021032500480028242,-0.004461421076883718,-0.0012746656866938482,0.010834931857263457,0.026768708808212808,G
15.619999885559082,15.350000381469727,536000,12.770611763000488,0.016927098612844665,0.020182319436572182,0.026692761084027215,0.024739591336886888,0.03971358229076426,G
15.75,15.399999618530273,854400,12.986780166625977,0.0032010365621762383,0.009603109686528714,0.015364902232812906,0.00832267063978054,0.02176697535716538,G
15.720000267028809,15.489999771118164,868600,13.028353691101074,0.0063816452445976815,0.012125052932880196,0.004467115155290677,0.0006381766964356681,0.022335697496212385,G
15.850000381469727,15.460000038146973,687900,13.111495018005371,0.005706987717255712,-0.0019023897130414022,-0.0012682598086942681,0.02536459143432371,0.022194062860500373,G
16.0,15.699999809265137,394400,13.186320304870605,-0.007566197235607169,-0.006935665766608951,-0.011349265788015513,0.01576298607100304,-0.008196728704605387,G
16.0,15.710000038146973,340100,13.086551666259766,0.0006353385658991992,-0.0038119102169542453,0.027318952441460816,0.014612484069579207,-0.0057179259146518426,G
15.819999694824219,15.600000381469727,566600,13.094864845275879,-0.004444425068204365,0.026666671510726686,0.022857181609623016,0.013333335755363343,-0.031746031746031744,G
15.850000381469727,15.609999656677246,332600,13.036665916442871,0.031249984794733773,0.02742348831676,0.01849489516637967,0.021683682778734427,-0.02232145246541836,G
16.170000076293945,15.569999694824219,513400,13.444060325622559,-0.003710542093957385,-0.012368571943196634,-0.012987015284857267,-0.003092098752296751,-0.049474346750789745,G
16.280000686645508,16.010000228881836,365700,13.394177436828613,-0.008690275482224128,-0.009311022130452696,-0.005586601438739895,-0.023587899051416717,-0.027933007193699476,G
16.139999389648438,15.859999656677246,374000,13.277776718139648,-0.0006261883979101813,0.0031308822729384797,0.009392646818815438,-0.02003761071683881,-0.013775846170961854,G
16.049999237060547,15.800000190734863,438000,13.269466400146484,0.003759424779028104,0.010025112826065042,-0.014411058606573074,-0.04448621782267908,0.0006265807555096353,G
