Symbol,ReportType,FilingDate,Negative,Positive,Uncertainty,Litigious,Strong_Modal,Weak_Modal,Constraining
AAPL,10-K,2012-10-31,602.0,294.0,649.0,313.0,69.0,283.0,271.0
AAPL,10-K,2013-10-30,651.0,281.0,661.0,333.0,69.0,289.0,279.0
AAPL,10-K,2014-10-27,659.0,300.0,675.0,351.0,82.0,306.0,288.0
AAPL,10-K,2015-10-28,644.0,302.0,674.0,340.0,67.0,322.0,282.0
AAPL,10-K,2016-10-26,626.0,289.0,664.0,327.0,77.0,319.0,274.0
AAPL,10-K,2017-11-03,636.0,297.0,689.0,325.0,85.0,345.0,281.0
AAPL,10-K,2018-11-05,648.0,289.0,642.0,337.0,74.0,350.0,264.0
AAPL,10-K,2019-10-31,614.0,210.0,519.0,307.0,54.0,266.0,250.0
AAPL,10-K,2020-10-30,643.0,208.0,541.0,291.0,56.0,296.0,265.0
AAPL,10-K,2021-10-29,648.0,210.0,453.0,303.0,47.0,240.0,248.0
AAPL,10-K,2022-10-28,633.0,200.0,455.0,278.0,49.0,241.0,241.0
ABBV,10-K,2015-02-20,828.0,521.0,743.0,633.0,121.0,332.0,365.0
ABBV,10-K,2016-02-19,852.0,556.0,791.0,623.0,128.0,332.0,385.0
ABBV,10-K,2017-02-17,866.0,525.0,855.0,606.0,127.0,343.0,369.0
ABBV,10-K,2018-02-16,865.0,525.0,828.0,602.0,124.0,335.0,379.0
ABBV,10-K,2019-02-27,848.0,490.0,819.0,645.0,120.0,323.0,366.0
ABBV,10-K,2020-02-21,885.0,488.0,826.0,643.0,143.0,319.0,356.0
ABBV,10-K,2021-02-19,988.0,556.0,926.0,741.0,150.0,375.0,384.0
ABBV,10-K,2022-02-18,11.0,2.0,10.0,,12.0,5.0,
ABBV,10-K,2023-02-17,983.0,581.0,879.0,685.0,148.0,374.0,388.0
ABT,10-K,2017-02-17,676.0,369.0,702.0,393.0,106.0,184.0,290.0
ABT,10-K,2018-02-16,671.0,411.0,684.0,380.0,96.0,195.0,320.0
ABT,10-K,2019-02-22,638.0,419.0,651.0,402.0,95.0,194.0,337.0
ABT,10-K,2020-02-21,619.0,384.0,634.0,406.0,88.0,199.0,316.0
ABT,10-K,2021-02-19,611.0,346.0,562.0,409.0,93.0,201.0,320.0
ABT,10-K,2022-02-18,662.0,355.0,603.0,456.0,94.0,208.0,325.0
ABT,10-K,2023-02-17,683.0,352.0,575.0,463.0,85.0,213.0,309.0
ACN,10-K,2019-10-29,883.0,603.0,808.0,666.0,74.0,439.0,322.0
ACN,10-K,2020-10-22,922.0,581.0,833.0,602.0,88.0,456.0,320.0
ACN,10-K,2021-10-15,915.0,613.0,834.0,596.0,80.0,453.0,316.0
ACN,10-K,2022-10-12,882.0,626.0,836.0,635.0,80.0,439.0,326.0
ADBE,10-K,2015-01-20,1036.0,723.0,875.0,526.0,122.0,389.0,320.0
ADBE,10-K,2016-01-19,1023.0,720.0,859.0,530.0,121.0,395.0,314.0
ADBE,10-K,2017-01-20,932.0,707.0,827.0,472.0,126.0,381.0,327.0
ADBE,10-K,2018-01-22,903.0,667.0,783.0,462.0,116.0,371.0,304.0
ADBE,10-K,2019-01-25,944.0,688.0,828.0,468.0,131.0,379.0,341.0
ADBE,10-K,2020-01-21,959.0,770.0,841.0,518.0,115.0,394.0,356.0
ADBE,10-K,2021-01-15,1063.0,825.0,909.0,534.0,117.0,448.0,362.0
ADBE,10-K,2022-01-21,929.0,726.0,826.0,473.0,94.0,414.0,322.0
ADBE,10-K,2023-01-17,920.0,697.0,790.0,486.0,83.0,393.0,309.0
AIG,10-K,2019-02-15,4594.0,1457.0,3212.0,2012.0,262.0,761.0,1105.0
AIG,10-K,2020-02-21,4556.0,1509.0,3268.0,2061.0,299.0,808.0,1084.0
AIG,10-K,2021-02-19,11.0,2.0,10.0,,12.0,5.0,
AIG,10-K,2022-02-17,11.0,2.0,10.0,,12.0,5.0,
AIG,10-K,2023-02-17,11.0,2.0,10.0,,12.0,5.0,
AMD,10-K,2014-02-18,1103.0,517.0,806.0,523.0,145.0,398.0,527.0
AMD,10-K,2015-02-19,1243.0,514.0,857.0,568.0,119.0,453.0,582.0
AMD,10-K,2016-02-18,1397.0,506.0,891.0,656.0,167.0,458.0,584.0
