Symbol,ReportType,FilingDate,Negative,Positive,Uncertainty,Litigious,Strong_Modal,Weak_Modal,Constraining
AMD,10-K,2017-02-21,1436.0,507.0,900.0,765.0,176.0,483.0,554.0
AMD,10-K,2018-02-27,1609.0,500.0,886.0,979.0,186.0,495.0,544.0
AMD,10-K,2019-02-08,1478.0,464.0,837.0,893.0,151.0,477.0,465.0
AMD,10-K,2020-02-04,1233.0,411.0,806.0,715.0,145.0,458.0,380.0
AMD,10-K,2021-01-29,1264.0,498.0,913.0,595.0,162.0,534.0,393.0
AMD,10-K,2022-02-03,1253.0,446.0,897.0,585.0,138.0,536.0,387.0
AMD,10-K,2023-02-27,1161.0,456.0,1039.0,483.0,140.0,562.0,409.0
AMGN,10-K,2015-02-19,1279.0,535.0,1017.0,1164.0,105.0,493.0,447.0
AMGN,10-K,2016-02-16,1205.0,542.0,990.0,1169.0,95.0,459.0,446.0
AMGN,10-K,2017-02-14,1205.0,511.0,964.0,1207.0,95.0,464.0,459.0
AMGN,10-K,2018-02-13,1351.0,564.0,966.0,1203.0,137.0,483.0,484.0
AMGN,10-K,2019-02-13,1409.0,534.0,982.0,1274.0,108.0,521.0,533.0
AMGN,10-K,2020-02-12,1617.0,554.0,1054.0,1544.0,121.0,544.0,559.0
AMGN,10-K,2020-02-13,17.0,10.0,12.0,30.0,,2.0,15.0
AMGN,10-K,2021-02-09,1766.0,681.0,1195.0,1564.0,138.0,651.0,565.0
AMGN,10-K,2022-02-16,1704.0,679.0,1244.0,1513.0,146.0,641.0,579.0
AMGN,10-K,2023-02-09,,,,,,,
AMT,10-K,2014-02-26,821.0,310.0,1217.0,435.0,172.0,470.0,691.0
AMT,10-K,2015-02-24,865.0,307.0,1233.0,425.0,175.0,478.0,720.0
AMT,10-K,2016-02-26,690.0,268.0,958.0,390.0,163.0,446.0,566.0
AMT,10-K,2017-02-27,675.0,294.0,925.0,417.0,151.0,443.0,548.0
AMT,10-K,2018-02-28,732.0,296.0,920.0,427.0,154.0,442.0,567.0
AMT,10-K,2019-02-27,773.0,331.0,932.0,495.0,145.0,446.0,636.0
AMT,10-K,2020-02-25,823.0,344.0,960.0,496.0,142.0,474.0,638.0
AMT,10-K,2021-02-25,,,,,,,
AMT,10-K,2022-02-25,1085.0,372.0,1101.0,504.0,166.0,556.0,661.0
AMT,10-K,2023-02-23,,,,,,,
AMZN,10-K,2015-01-30,878.0,285.0,561.0,472.0,53.0,262.0,259.0
AMZN,10-K,2016-01-29,755.0,273.0,543.0,413.0,56.0,265.0,280.0
AMZN,10-K,2017-02-10,729.0,279.0,538.0,435.0,61.0,264.0,278.0
AMZN,10-K,2018-02-02,650.0,281.0,578.0,451.0,74.0,275.0,290.0
AMZN,10-K,2019-02-01,640.0,270.0,554.0,411.0,59.0,263.0,287.0
AMZN,10-K,2020-01-31,691.0,267.0,536.0,409.0,48.0,237.0,304.0
AMZN,10-K,2021-02-03,645.0,258.0,536.0,338.0,44.0,229.0,281.0
AMZN,10-K,2022-02-04,674.0,256.0,541.0,338.0,44.0,241.0,296.0
AMZN,10-K,2023-02-03,768.0,285.0,569.0,396.0,49.0,252.0,297.0
AVGO,10-K,2018-12-21,1453.0,613.0,1218.0,763.0,127.0,597.0,481.0
AVGO,10-K,2019-12-20,1319.0,645.0,1251.0,757.0,117.0,609.0,544.0
AVGO,10-K,2020-12-18,1322.0,581.0,1223.0,709.0,105.0,636.0,511.0
AVGO,10-K,2021-12-17,1223.0,525.0,1133.0,595.0,109.0,620.0,486.0
AVGO,10-K,2022-12-16,1208.0,488.0,1092.0,594.0,121.0,616.0,468.0
AXP,10-K,2016-02-19,1821.0,865.0,1569.0,1148.0,170.0,555.0,823.0
AXP,10-K,2017-02-17,1619.0,674.0,1420.0,984.0,137.0,530.0,726.0
AXP,10-K,2018-02-16,1609.0,712.0,1418.0,948.0,143.0,535.0,688.0
AXP,10-K,2019-02-13,1582.0,666.0,1397.0,907.0,127.0,537.0,677.0
AXP,10-K,2020-02-13,1531.0,598.0,1406.0,830.0,128.0,531.0,629.0
AXP,10-K,2021-02-12,1727.0,673.0,1420.0,888.0,143.0,541.0,646.0
AXP,10-K,2022-02-11,1711.0,648.0,1469.0,905.0,129.0,566.0,599.0
AXP,10-K,2023-02-10,1722.0,658.0,1486.0,922.0,121.0,561.0,613.0
BAC,10-K,2023-02-22,2606.0,620.0,2365.0,1126.0,130.0,655.0,869.0
BA,10-K,2017-02-08,734.0,424.0,656.0,599.0,106.0,270.0,388.0
BA,10-K,2017-02-10,15.0,13.0,6.0,45.0,1.0,5.0,14.0
BA,10-K,2018-02-12,691.0,422.0,625.0,572.0,104.0,259.0,385.0
BA,10-K,2019-02-08,723.0,457.0,651.0,617.0,113.0,260.0,424.0
BA,10-K,2020-01-31,11.0,2.0,10.0,,12.0,5.0,
BA,10-K,2021-02-01,1298.0,500.0,908.0,704.0,190.0,377.0,511.0
BA,10-K,2022-01-31,1120.0,485.0,839.0,650.0,154.0,348.0,494.0
BA,10-K,2023-01-27,992.0,477.0,740.0,600.0,122.0,299.0,424.0
BKNG,10-K,2011-02-25,1232.0,494.0,1013.0,915.0,177.0,481.0,352.0
BKNG,10-K,2012-02-27,1131.0,474.0,919.0,1076.0,171.0,440.0,335.0
BKNG,10-K,2013-02-27,1332.0,490.0,1065.0,1387.0,145.0,534.0,322.0
BKNG,10-K,2014-02-20,1353.0,538.0,1182.0,1533.0,136.0,610.0,333.0
BKNG,10-K,2015-02-19,1292.0,540.0,1235.0,998.0,144.0,646.0,398.0
BKNG,10-K,2016-02-17,1219.0,586.0,1202.0,623.0,133.0,623.0,401.0
BKNG,10-K,2017-02-27,1153.0,576.0,1124.0,554.0,136.0,562.0,394.0
BKNG,10-K,2018-02-27,1164.0,633.0,1177.0,589.0,189.0,600.0,425.0
BKNG,10-K,2019-02-27,1159.0,626.0,1102.0,540.0,137.0,595.0,440.0
BKNG,10-K,2020-02-26,1210.0,559.0,1081.0,540.0,146.0,606.0,416.0
BKNG,10-K,2021-02-24,1772.0,701.0,1429.0,777.0,189.0,748.0,704.0
BKNG,10-K,2022-02-23,1454.0,639.0,1252.0,676.0,152.0,671.0,612.0
BKNG,10-K,2023-02-23,1299.0,564.0,1203.0,635.0,114.0,660.0,558.0
BK,10-K,2019-02-27,121.0,36.0,121.0,227.0,5.0,58.0,44.0
BK,10-K,2020-02-27,112.0,29.0,109.0,211.0,1.0,56.0,45.0
BK,10-K,2021-02-25,117.0,49.0,117.0,193.0,2.0,62.0,45.0
BK,10-K,2022-02-25,116.0,50.0,118.0,177.0,15.0,65.0,39.0
BK,10-K,2023-02-27,108.0,71.0,112.0,174.0,5.0,55.0,42.0
BLK,10-K,2023-02-24,,,,,,,
BMY,10-K,2017-02-21,1019.0,840.0,744.0,806.0,127.0,333.0,349.0
BMY,10-K,2018-02-13,1050.0,787.0,742.0,827.0,124.0,336.0,371.0
BMY,10-K,2019-02-25,,,,,,,
BMY,10-K,2020-02-24,,,,,,,
BMY,10-K,2021-02-10,,,,,,,
BMY,10-K,2022-02-09,,,,,,,
BMY,10-K,2023-02-14,,,,,,,
BRK-B,10-K,2012-02-27,1294.0,397.0,873.0,867.0,117.0,230.0,296.0
BRK-B,10-K,2013-03-01,1284.0,397.0,878.0,895.0,106.0,224.0,287.0
BRK-B,10-K,2014-03-03,1268.0,397.0,878.0,891.0,89.0,213.0,277.0
BRK-B,10-K,2015-03-02,1268.0,403.0,867.0,894.0,95.0,225.0,273.0
BRK-B,10-K,2016-02-29,1294.0,432.0,864.0,839.0,93.0,231.0,275.0
BRK-B,10-K,2017-02-27,1312.0,422.0,804.0,799.0,97.0,221.0,259.0
BRK-B,10-K,2018-02-26,1276.0,387.0,788.0,834.0,99.0,219.0,252.0
BRK-B,10-K,2019-02-25,1305.0,437.0,800.0,867.0,87.0,215.0,282.0
BRK-B,10-K,2020-02-24,1390.0,438.0,841.0,896.0,93.0,219.0,307.0
BRK-B,10-K,2021-03-01,1470.0,407.0,897.0,887.0,89.0,236.0,330.0
BRK-B,10-K,2022-02-28,1405.0,416.0,885.0,898.0,95.0,228.0,334.0
BRK-B,10-K,2023-02-27,,,,,,,
CAT,10-K,2017-02-15,1531.0,729.0,930.0,514.0,141.0,316.0,506.0
CAT,10-K,2018-02-15,1335.0,723.0,924.0,550.0,114.0,328.0,521.0
CAT,10-K,2019-02-14,1191.0,697.0,885.0,549.0,104.0,300.0,483.0
CAT,10-K,2020-02-19,1129.0,600.0,853.0,535.0,90.0,312.0,419.0
CAT,10-K,2021-02-17,1005.0,555.0,837.0,484.0,78.0,322.0,407.0
CAT,10-K,2022-02-16,954.0,562.0,833.0,519.0,83.0,315.0,386.0
CAT,10-K,2023-02-15,988.0,530.0,830.0,551.0,83.0,320.0,418.0
CHTR,10-K,2015-02-24,987.0,375.0,928.0,590.0,238.0,452.0,779.0
CHTR,10-K,2016-02-10,1171.0,390.0,998.0,753.0,282.0,489.0,881.0
CHTR,10-K,2017-02-16,1003.0,441.0,999.0,686.0,161.0,455.0,628.0
CHTR,10-K,2018-02-02,862.0,420.0,822.0,632.0,134.0,394.0,534.0
CHTR,10-K,2019-01-31,835.0,422.0,812.0,682.0,140.0,400.0,569.0
CHTR,10-K,2020-01-31,714.0,350.0,701.0,646.0,127.0,367.0,533.0
CHTR,10-K,2021-01-29,696.0,365.0,685.0,634.0,109.0,358.0,503.0
CHTR,10-K,2022-01-28,640.0,353.0,659.0,606.0,108.0,337.0,462.0
CHTR,10-K,2023-01-27,594.0,361.0,579.0,584.0,108.0,311.0,408.0
CL,10-K,2016-02-18,903.0,492.0,550.0,555.0,76.0,199.0,219.0
CL,10-K,2017-02-23,970.0,540.0,549.0,579.0,65.0,200.0,242.0
CL,10-K,2018-02-15,783.0,694.0,568.0,545.0,73.0,207.0,294.0
CL,10-K,2018-02-21,784.0,694.0,568.0,557.0,73.0,207.0,294.0
CL,10-K,2019-02-21,763.0,679.0,593.0,510.0,75.0,228.0,301.0
CL,10-K,2020-02-21,803.0,617.0,608.0,552.0,79.0,232.0,319.0
CL,10-K,2021-02-18,838.0,533.0,712.0,529.0,57.0,254.0,310.0
CL,10-K,2022-02-17,780.0,495.0,692.0,437.0,52.0,256.0,325.0
CL,10-K,2023-02-16,843.0,459.0,719.0,468.0,48.0,277.0,367.0
CMCSA,10-K,2016-02-05,841.0,387.0,682.0,703.0,89.0,321.0,521.0
CMCSA,10-K,2017-02-03,770.0,388.0,730.0,614.0,104.0,342.0,511.0
CMCSA,10-K,2018-01-31,786.0,437.0,702.0,637.0,122.0,344.0,477.0
CMCSA,10-K,2019-01-31,817.0,447.0,782.0,693.0,113.0,359.0,515.0
CMCSA,10-K,2020-01-30,825.0,383.0,766.0,621.0,114.0,340.0,509.0
CMCSA,10-K,2021-02-04,737.0,296.0,619.0,532.0,114.0,325.0,410.0
CMCSA,10-K,2022-02-02,704.0,282.0,575.0,494.0,90.0,301.0,408.0
CMCSA,10-K,2023-02-03,698.0,283.0,579.0,487.0,89.0,302.0,426.0
COF,10-K,2017-02-23,2464.0,639.0,1837.0,1070.0,178.0,569.0,902.0
COF,10-K,2018-02-21,2281.0,623.0,1760.0,937.0,160.0,555.0,855.0
COF,10-K,2019-02-20,2171.0,655.0,1674.0,878.0,163.0,552.0,790.0
COF,10-K,2020-02-20,2169.0,600.0,1585.0,891.0,156.0,514.0,757.0
COF,10-K,2021-02-25,2289.0,608.0,1700.0,948.0,175.0,575.0,772.0
COF,10-K,2022-02-25,2119.0,627.0,1695.0,969.0,143.0,576.0,734.0
COF,10-K,2023-02-24,,,,,,,
COP,10-K,2016-02-23,1104.0,556.0,743.0,597.0,130.0,239.0,547.0
COP,10-K,2017-02-21,1178.0,591.0,753.0,623.0,124.0,245.0,567.0
COP,10-K,2018-02-20,1100.0,602.0,773.0,630.0,124.0,254.0,567.0
COP,10-K,2019-02-19,1146.0,636.0,849.0,753.0,128.0,281.0,610.0
COP,10-K,2020-02-18,1091.0,536.0,853.0,713.0,143.0,295.0,588.0
COP,10-K,2021-02-16,1302.0,602.0,968.0,716.0,148.0,334.0,613.0
COP,10-K,2022-02-17,1161.0,619.0,969.0,685.0,146.0,322.0,582.0
COP,10-K,2023-02-16,1119.0,546.0,898.0,668.0,136.0,310.0,529.0
COST,10-K,2014-10-15,433.0,207.0,424.0,273.0,34.0,188.0,148.0
COST,10-K,2015-10-14,426.0,218.0,455.0,238.0,44.0,201.0,148.0
COST,10-K,2016-10-12,434.0,224.0,455.0,240.0,46.0,200.0,155.0
COST,10-K,2016-10-21,64.0,62.0,68.0,48.0,8.0,14.0,44.0
COST,10-K,2017-10-18,460.0,219.0,478.0,243.0,47.0,221.0,154.0
COST,10-K,2018-10-26,487.0,234.0,458.0,234.0,40.0,215.0,153.0
COST,10-K,2019-10-11,551.0,212.0,461.0,265.0,31.0,214.0,156.0
COST,10-K,2020-10-07,605.0,231.0,479.0,302.0,30.0,213.0,168.0
COST,10-K,2021-10-06,617.0,223.0,472.0,321.0,29.0,212.0,162.0
COST,10-K,2022-10-05,591.0,223.0,453.0,314.0,30.0,207.0,162.0
CRM,10-K,2021-03-17,1288.0,581.0,1334.0,707.0,96.0,692.0,484.0
CRM,10-K,2022-03-11,1208.0,557.0,1238.0,711.0,88.0,636.0,473.0
CRM,10-K,2023-03-08,1243.0,538.0,1191.0,688.0,86.0,645.0,487.0
CSCO,10-K,2015-09-08,1201.0,563.0,1183.0,478.0,142.0,506.0,427.0
CSCO,10-K,2016-09-08,1302.0,586.0,1172.0,610.0,158.0,486.0,428.0
CSCO,10-K,2017-09-07,1306.0,567.0,1166.0,576.0,163.0,484.0,446.0
CSCO,10-K,2018-09-06,1293.0,539.0,1172.0,571.0,171.0,501.0,447.0
CSCO,10-K,2019-09-05,1161.0,501.0,1082.0,555.0,128.0,474.0,463.0
CSCO,10-K,2020-09-03,1251.0,489.0,1121.0,554.0,141.0,497.0,440.0
CSCO,10-K,2021-09-09,1160.0,525.0,1046.0,585.0,130.0,469.0,427.0
CSCO,10-K,2022-09-08,1196.0,518.0,1083.0,617.0,128.0,489.0,505.0
CVS,10-K,2015-02-10,274.0,191.0,259.0,439.0,21.0,161.0,131.0
CVS,10-K,2016-02-09,330.0,213.0,298.0,470.0,25.0,187.0,153.0
CVS,10-K,2017-02-09,378.0,234.0,343.0,502.0,26.0,223.0,164.0
CVS,10-K,2018-02-14,594.0,310.0,542.0,563.0,71.0,350.0,256.0
CVS,10-K,2019-02-28,1279.0,744.0,1036.0,1064.0,153.0,621.0,508.0
CVS,10-K,2020-02-18,2123.0,1023.0,1521.0,1616.0,181.0,641.0,925.0
CVS,10-K,2021-02-16,2243.0,1176.0,1692.0,1646.0,202.0,747.0,952.0
CVS,10-K,2022-02-09,2156.0,1173.0,1672.0,1679.0,226.0,766.0,982.0
CVS,10-K,2023-02-08,2293.0,1209.0,1727.0,1807.0,245.0,798.0,991.0
CVX,10-K,2014-02-21,682.0,369.0,566.0,618.0,53.0,182.0,366.0
CVX,10-K,2015-02-20,652.0,333.0,567.0,579.0,52.0,181.0,361.0
CVX,10-K,2016-02-25,688.0,346.0,552.0,597.0,41.0,178.0,379.0
CVX,10-K,2017-02-23,770.0,361.0,572.0,645.0,49.0,195.0,392.0
CVX,10-K,2018-02-22,774.0,386.0,579.0,625.0,47.0,200.0,402.0
CVX,10-K,2019-02-22,734.0,366.0,575.0,650.0,52.0,197.0,411.0
CVX,10-K,2020-02-21,759.0,337.0,613.0,519.0,54.0,225.0,397.0
CVX,10-K,2021-02-25,802.0,383.0,685.0,464.0,57.0,241.0,424.0
CVX,10-K,2022-02-24,746.0,400.0,643.0,481.0,60.0,232.0,414.0
CVX,10-K,2023-02-23,747.0,387.0,659.0,494.0,61.0,254.0,425.0
C,10-K,2023-02-27,3369.0,812.0,3037.0,1807.0,233.0,609.0,1018.0
DHR,10-K,2017-02-22,1147.0,553.0,988.0,631.0,105.0,406.0,421.0
DHR,10-K,2018-02-21,1219.0,595.0,1020.0,673.0,125.0,443.0,464.0
DHR,10-K,2019-02-21,1260.0,655.0,1046.0,779.0,109.0,473.0,542.0
DHR,10-K,2020-02-21,1443.0,591.0,1119.0,913.0,136.0,463.0,578.0
DHR,10-K,2021-02-25,1553.0,580.0,1148.0,909.0,111.0,430.0,613.0
DHR,10-K,2022-02-23,1555.0,588.0,1094.0,947.0,112.0,428.0,609.0
DHR,10-K,2023-02-22,1539.0,595.0,1063.0,956.0,104.0,411.0,615.0
DIS,10-K,2019-11-20,793.0,496.0,739.0,434.0,89.0,261.0,365.0
DIS,10-K,2020-11-25,1057.0,482.0,870.0,452.0,93.0,319.0,472.0
DIS,10-K,2021-11-24,956.0,453.0,820.0,407.0,92.0,332.0,433.0
DIS,10-K,2022-11-29,823.0,461.0,750.0,406.0,77.0,303.0,390.0
DIS,10-K,2023-01-24,238.0,346.0,150.0,102.0,96.0,57.0,134.0
DOW,10-K,2020-02-07,1325.0,640.0,795.0,669.0,129.0,210.0,669.0
DOW,10-K,2021-02-05,1450.0,717.0,801.0,712.0,136.0,215.0,649.0
DOW,10-K,2022-02-04,1250.0,820.0,755.0,696.0,153.0,225.0,580.0
DOW,10-K,2023-02-01,966.0,707.0,718.0,604.0,135.0,230.0,485.0
DUK,10-K,2016-02-25,1987.0,1685.0,1456.0,2013.0,242.0,504.0,948.0
DUK,10-K,2016-04-07,15.0,17.0,19.0,49.0,1.0,17.0,17.0
DUK,10-K,2017-02-24,1900.0,1652.0,1460.0,1908.0,215.0,517.0,924.0
DUK,10-K,2018-02-21,1994.0,1707.0,1489.0,2104.0,228.0,523.0,1000.0
DUK,10-K,2018-02-23,2001.0,1707.0,1490.0,2113.0,228.0,523.0,1001.0
DUK,10-K,2019-02-28,1826.0,1581.0,1425.0,2049.0,185.0,499.0,1028.0
DUK,10-K,2020-02-20,1663.0,1339.0,1381.0,1830.0,205.0,523.0,971.0
DUK,10-K,2021-02-25,1730.0,1163.0,1417.0,2049.0,192.0,537.0,925.0
DUK,10-K,2022-02-24,1634.0,1106.0,1381.0,1975.0,174.0,526.0,926.0
DUK,10-K,2023-02-27,1612.0,1090.0,1341.0,1859.0,167.0,512.0,891.0
EMR,10-K,2010-11-23,105.0,76.0,103.0,112.0,10.0,65.0,41.0
EMR,10-K,2011-11-22,115.0,76.0,117.0,101.0,12.0,64.0,47.0
EMR,10-K,2012-11-20,136.0,81.0,115.0,104.0,12.0,66.0,50.0
EMR,10-K,2013-11-19,141.0,85.0,126.0,110.0,12.0,71.0,50.0
EMR,10-K,2014-11-19,154.0,83.0,122.0,112.0,8.0,73.0,47.0
EMR,10-K,2015-11-18,166.0,92.0,138.0,112.0,11.0,84.0,54.0
EMR,10-K,2016-11-16,570.0,300.0,375.0,196.0,49.0,139.0,152.0
EMR,10-K,2017-11-20,514.0,297.0,375.0,188.0,33.0,129.0,152.0
EMR,10-K,2018-11-19,496.0,306.0,398.0,225.0,38.0,142.0,159.0
EMR,10-K,2019-11-18,510.0,297.0,402.0,265.0,36.0,151.0,181.0
EMR,10-K,2020-11-16,537.0,314.0,444.0,288.0,41.0,165.0,206.0
EMR,10-K,2021-11-15,519.0,338.0,463.0,289.0,61.0,186.0,218.0
EMR,10-K,2022-11-14,604.0,409.0,567.0,301.0,59.0,211.0,235.0
EXC,10-K,2016-02-10,2335.0,1345.0,2459.0,2749.0,452.0,913.0,1792.0
EXC,10-K,2017-02-13,2686.0,1666.0,2698.0,3174.0,476.0,1019.0,2153.0
EXC,10-K,2018-02-09,2600.0,1635.0,2570.0,2918.0,483.0,996.0,1963.0
EXC,10-K,2019-02-08,2278.0,1358.0,2240.0,2498.0,379.0,879.0,1756.0
EXC,10-K,2020-02-11,1739.0,947.0,1757.0,1963.0,256.0,660.0,1291.0
EXC,10-K,2021-02-24,1898.0,878.0,1766.0,2251.0,291.0,684.0,1365.0
EXC,10-K,2022-02-25,1626.0,814.0,1440.0,2160.0,225.0,479.0,1163.0
EXC,10-K,2023-02-14,1286.0,687.0,983.0,1599.0,193.0,409.0,901.0
FDX,10-K,2012-07-16,585.0,538.0,820.0,647.0,113.0,409.0,405.0
FDX,10-K,2013-07-15,594.0,559.0,844.0,595.0,127.0,429.0,417.0
FDX,10-K,2014-07-14,617.0,556.0,828.0,622.0,98.0,423.0,405.0
FDX,10-K,2015-07-14,710.0,630.0,878.0,775.0,126.0,438.0,404.0
FDX,10-K,2016-07-18,702.0,662.0,936.0,886.0,156.0,466.0,412.0
FDX,10-K,2017-07-17,702.0,690.0,948.0,1024.0,159.0,485.0,418.0
FDX,10-K,2018-07-16,725.0,846.0,971.0,1058.0,151.0,508.0,439.0
FDX,10-K,2019-07-16,899.0,922.0,1103.0,1246.0,166.0,580.0,502.0
FDX,10-K,2019-08-15,32.0,154.0,37.0,685.0,7.0,31.0,17.0
FDX,10-K,2020-07-20,1051.0,893.0,1142.0,1390.0,167.0,600.0,526.0
FDX,10-K,2021-07-19,896.0,729.0,1092.0,858.0,137.0,557.0,519.0
FDX,10-K,2022-07-18,912.0,727.0,1080.0,825.0,134.0,565.0,439.0
F,10-K,2017-02-09,1071.0,584.0,782.0,513.0,131.0,234.0,471.0
F,10-K,2017-03-29,29.0,12.0,7.0,70.0,1.0,6.0,25.0
F,10-K,2018-02-08,1102.0,556.0,806.0,544.0,114.0,264.0,464.0
F,10-K,2018-03-28,34.0,14.0,9.0,76.0,1.0,7.0,22.0
F,10-K,2019-02-21,1107.0,510.0,863.0,577.0,121.0,285.0,509.0
F,10-K,2020-02-05,1343.0,529.0,979.0,669.0,126.0,344.0,530.0
F,10-K,2021-02-05,1504.0,587.0,1075.0,647.0,141.0,387.0,572.0
F,10-K,2022-02-04,1522.0,638.0,1079.0,711.0,129.0,407.0,593.0
F,10-K,2023-02-03,1643.0,672.0,1166.0,741.0,144.0,457.0,652.0
GD,10-K,2017-02-06,401.0,422.0,408.0,567.0,71.0,119.0,253.0
GD,10-K,2018-02-12,409.0,411.0,417.0,593.0,53.0,126.0,255.0
GD,10-K,2019-02-13,441.0,435.0,517.0,620.0,53.0,151.0,280.0
GD,10-K,2020-02-10,430.0,387.0,501.0,627.0,62.0,151.0,270.0
GD,10-K,2021-02-09,502.0,406.0,529.0,618.0,68.0,172.0,291.0
GD,10-K,2022-02-09,415.0,392.0,482.0,606.0,54.0,166.0,273.0
GD,10-K,2023-02-07,441.0,391.0,474.0,602.0,50.0,161.0,272.0
GE,10-K,2018-02-23,1709.0,855.0,1190.0,953.0,220.0,335.0,492.0
GE,10-K,2019-02-26,1784.0,944.0,1291.0,957.0,210.0,364.0,631.0
GE,10-K,2020-02-24,1584.0,808.0,988.0,838.0,131.0,292.0,465.0
GE,10-K,2021-02-12,1598.0,773.0,1015.0,874.0,123.0,315.0,452.0
GE,10-K,2022-02-11,1390.0,743.0,915.0,774.0,149.0,296.0,386.0
GE,10-K,2023-02-10,1340.0,669.0,880.0,767.0,148.0,305.0,382.0
GILD,10-K,2015-02-25,1546.0,571.0,1267.0,1159.0,235.0,662.0,490.0
GILD,10-K,2016-02-24,1257.0,497.0,1107.0,995.0,218.0,624.0,405.0
GILD,10-K,2017-02-27,1408.0,511.0,1066.0,1193.0,201.0,572.0,435.0
GILD,10-K,2018-02-27,1336.0,541.0,1123.0,989.0,190.0,584.0,449.0
GILD,10-K,2019-02-26,1015.0,473.0,959.0,771.0,119.0,467.0,378.0
GILD,10-K,2019-04-18,20.0,5.0,16.0,90.0,1.0,14.0,15.0
