,Symbol,ReportType,FilingDate,Negative,Positive,Uncertainty,Litigious,Strong_Modal,Weak_Modal,Constraining,high,low,volume,price,1daily_return,2daily_return,3daily_return,5daily_return,10daily_return
361,HON,10-K,2023-02-10,885.0,542.0,681.0,731.0,89.0,214.0,378.0,,,,,,,,,
362,IBM,10-K,2018-02-27,235.0,178.0,210.0,249.0,30.0,113.0,59.0,,,,,,,,,
363,IBM,10-K,2019-02-26,225.0,183.0,212.0,252.0,29.0,116.0,62.0,,,,,,,,,
364,IBM,10-K,2020-02-25,257.0,179.0,240.0,256.0,29.0,131.0,80.0,,,,,,,,,
365,IBM,10-K,2021-02-23,,,,,,,,,,,,,,,,
366,IBM,10-K,2022-02-22,11.0,2.0,10.0,,12.0,5.0,,,,,,,,,,
367,IBM,10-K,2023-02-28,,,,,,,,,,,,,,,,
368,INTC,10-K,2017-02-17,914.0,545.0,814.0,492.0,95.0,374.0,349.0,,,,,,,,,
369,INTC,10-K,2018-02-16,879.0,498.0,764.0,454.0,80.0,350.0,294.0,,,,,,,,,
370,INTC,10-K,2019-02-01,1041.0,743.0,805.0,466.0,91.0,393.0,337.0,,,,,,,,,
371,INTC,10-K,2020-01-24,1077.0,753.0,698.0,417.0,127.0,290.0,341.0,,,,,,,,,
372,INTC,10-K,2021-01-22,1389.0,787.0,780.0,562.0,144.0,333.0,338.0,,,,,,,,,
373,INTC,10-K,2022-01-27,1522.0,770.0,811.0,690.0,175.0,345.0,387.0,,,,,,,,,
374,INTC,10-K,2023-01-27,1437.0,861.0,866.0,493.0,168.0,370.0,454.0,,,,,,,,,
375,KHC,10-K,2016-03-03,,,,,,,,,,,,,,,,
376,KHC,10-K,2017-02-23,,,,,,,,,,,,,,,,
377,KHC,10-K,2018-02-16,,,,,,,,,,,,,,,,
378,KHC,10-K,2019-02-28,15.0,2.0,16.0,13.0,6.0,5.0,7.0,,,,,,,,,
379,KHC,10-K,2019-06-07,,,,,,,,,,,,,,,,
380,KHC,10-K,2020-02-14,,,,,,,,,,,,,,,,
381,KHC,10-K,2021-02-17,,,,,,,,,,,,,,,,
382,KHC,10-K,2022-02-17,,,,,,,,,,,,,,,,
383,KHC,10-K,2023-02-16,,,,,,,,,,,,,,,,
384,KO,10-K,2015-02-25,,,,,,,,,,,,,,,,
385,KO,10-K,2016-02-25,,,,,,,,,,,,,,,,
386,KO,10-K,2017-02-24,,,,,,,,,,,,,,,,
387,KO,10-K,2018-02-23,,,,,,,,,,,,,,,,
388,KO,10-K,2019-02-21,,,,,,,,,,,,,,,,
389,KO,10-K,2020-02-24,,,,,,,,,,,,,,,,
390,KO,10-K,2021-02-25,,,,,,,,,,,,,,,,
391,KO,10-K,2022-02-22,,,,,,,,,,,,,,,,
392,KO,10-K,2023-02-21,,,,,,,,,,,,,,,,
393,LIN,10-K,2018-03-23,253.0,100.0,278.0,276.0,106.0,189.0,144.0,,,,,,,,,
394,LIN,10-K,2019-03-01,30.0,6.0,36.0,25.0,6.0,10.0,11.0,,,,,,,,,
395,LIN,10-K,2019-03-18,723.0,499.0,729.0,562.0,108.0,231.0,392.0,,,,,,,,,
396,LIN,10-K,2020-03-02,837.0,513.0,728.0,564.0,105.0,234.0,396.0,,,,,,,,,
397,LIN,10-K,2021-03-01,666.0,402.0,645.0,515.0,80.0,231.0,314.0,,,,,,,,,
398,LIN,10-K,2022-02-28,591.0,374.0,644.0,518.0,77.0,233.0,304.0,,,,,,,,,
399,LIN,10-K,2023-02-28,613.0,349.0,632.0,543.0,92.0,229.0,309.0,,,,,,,,,
400,LLY,10-K,2018-02-20,1132.0,586.0,805.0,734.0,113.0,289.0,315.0,,,,,,,,,
401,LLY,10-K,2019-02-19,1152.0,578.0,788.0,742.0,120.0,276.0,332.0,,,,,,,,,
