Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
PYPL,"Paypal Holdings",76.78,0.49,+0.64%,77.76,76.36,9608500,2023-03-06
QCOM,"Qualcomm Inc",122.41,-1.19,-0.96%,125.17,122.03,7031200,2023-03-06
RTX,"Raytheon Technologies Corp",99.51,0.49,+0.49%,100.09,98.84,5064700,2023-03-06
SBUX,"Starbucks Corp",104.99,0.44,+0.42%,105.94,104.44,5237000,2023-03-06
SCHW,"The Charles Schwab Corp",76.6,-0.81,-1.05%,77.32,75.94,6969800,2023-03-06
SO,"Southern Company",65.23,0.42,+0.65%,65.34,64.65,4832700,2023-03-06
SPG,"Simon Property Group",123.85,-0.23,-0.19%,125.31,123.51,779000,2023-03-06
T,"AT&T Inc",18.77,-0.04,-0.21%,18.96,18.77,24072100,2023-03-06
TGT,"Target Corp",165.2,-0.8,-0.48%,166.76,164.52,2220800,2023-03-06
TMO,"Thermo Fisher Scientific Inc",558.52,-0.92,-0.16%,567.32,555.32,1163000,2023-03-06
TMUS,"T-Mobile US",143.72,1.82,+1.28%,144.27,141.64,4498300,2023-03-06
TSLA,"Tesla Inc",193.81,-3.98,-2.01%,198.6,192.3,128100094,2023-03-06
TXN,"Texas Instruments",173.05,-2.63,-1.50%,176.5,172.8,4090100,2023-03-06
UNH,"Unitedhealth Group Inc",480.78,2.22,+0.46%,484.35,479,3812600,2023-03-06
UNP,"Union Pacific Corp",208.83,-0.53,-0.25%,210.81,207.84,2300300,2023-03-06
UPS,"United Parcel Service",186.51,0.83,+0.45%,187.67,185.36,2419400,2023-03-06
USB,"U.S. Bancorp",47.12,0.01,+0.02%,47.56,47,5604100,2023-03-06
V,"Visa Inc",226.75,2.98,+1.33%,227.41,223.69,5737500,2023-03-06
VZ,"Verizon Communications Inc",38.15,-0.11,-0.29%,38.63,38.05,22925600,2023-03-06
WBA,"Walgreens Boots Alliance",35.45,-0.64,-1.77%,36.15,35.36,7553300,2023-03-06
WFC,"Wells Fargo & Company",46.63,-0.22,-0.47%,47.18,46.51,14235900,2023-03-06
WMT,"Walmart Inc",140.65,-0.02,-0.01%,140.98,140.02,5573600,2023-03-06
XOM,"Exxon Mobil Corp",113.81,1,+0.89%,113.84,111.87,14347399,2023-03-06
"Downloaded from Barchart.com as of 03-07-2023 05:25am CST"
